Stavek,Polisemna lema
"Razbor je znan po še enem učitelju, Blažu Jurku, ki je v vas prišel leta 1879. ",leto
"Na razborski šoli je poučeval 45 let, do leta 1924, ko se je upokojil. ",leto;leto
"Leta 1886 je postavil novo šolsko poslopje, leta 1902 pa na Lisci prvo planinsko kočo. ",leto;leto
"Leta 1932 se je Jurkovi koči pridružil Tončkov dom, šest let kasneje pa še kapela Matere Božje.",leto;leto
"Danes je drugo največje središče v Spodnji Savinjski dolini industrializirano naselje, ki se je začelo razvijati konec 19. stoletja. ",velik
"Tovarna meril (1892) in tovarna strojil (1916) sta bili temeljni dejavnosti, leta 1927 ss jima je pridružila tovarna pletenin in leta 1948 tovarna pohištva Garant.",leto;leto
"Peter Starič je leta 1995, ob 50. obletnici uničenja Hirošime z atomsko bombo, pri Tehniški založbi izdal knjižico Izdelava prvih atomskih bomb. ",leto
"Članice komisije menimo, da je bila kakovost izpitnih pol primerna, podobna kakovosti izpitnih pol iz prejšnjih let. ",leto
"Komisija pri sestavljanju izpitnih kompletov sledi smernicam Kataloga znanja za angleščino: tematsko pestrost nalog zagotavlja izbor tem iz običajnih, vsakodnevnih življenjskih situacij, odnosov, zabave, sveta, dela in jezika stroke. ",jezik
"V DPK PM za slovenščino in slovenščino kot drugi jezik sta do izteka prejšnjega mandata sodelovala dva člana predmetne skupine za slovenščino, od 1. 9. 2008 pa samo en član; ta je kot predstavnik ZRSŠ zastopal predmetno področje pri/na: – koordinaciji sestankov in pri delu DPK PM (27 sej); – pripravi izpitnih kompletov in meril za ocenjevanje za tri izpitne roke za slovenščino in za tri izpitne roke za slovenščino kot drugi jezik (6 kompletov izpitnih pol); – oblikovanju mrežnega diagrama za vsak izpitni komplet (taksonomija posameznih nalog); – pripravi moderiranih navodil za ocenjevanje izpitnih pol za vsak izpitni rok za slovenščino in posebej za slovenščino kot drugi jezik; – pripravi predlogov za redakcijske popravke izpitnih katalogov; – koordiniranju seminarjev za slovenščino na poklicni maturi (25. 1. 2008 – 27 udeležencev, 1. 2. 2008 – 28 udeležencev in 14. 11. 2008 – 34 udeležencev); – študijski skupini za srednje šole (predstavitev analize poklicne mature 2007, ustni del izpita na poklicni maturi); – prilagoditvi navodil za kandidate s posebnimi potrebami; – dežurstvu na Ricu pri pisanju izpitnih pol; – določanju praga za pozitivno oceno in mejá med ocenami; – pripravi sklepnega poročila.",jezik;jezik;jezik
"Iz Velike Britanije se je oglasil tudi predsednik Clinton, ki je bil te dni precej nekomunikativen, ko ga je kdo spraševal o predsedniški volilni tekmi. ",velik
"Iva ob razglasitvi še ni imela vozniškega izpita, avto, ki ga je dobila v uporabo za leto dni, pa jo je spodbudil, da je izpit opravila v nekaj mesecih.HOLLYWOODSKA VROČA SOSESKA",leto
"Vse izvirajo v večji meri iz čebelje ustne slinavke, le malo iz rastlin. ",velik
"- zrasle majhne grče do 20 mm premera neomejeno in 1 venec* na dolžinski meter srednje velikih zraslih grč do 40 mm premera,",velik
"V drugem odstavku 9. člena se besedilo ""v treh letih po uveljavitvi tega zakona"" nadomesti z besedilom ""do 30.6.1999"".",leto
"Štirinajst članic iz pomurske regije, med njimi so bila kmetijska podjetja, banki, lokalne skupnosti, inženirinška podjetja ter Živinorejsko-veterinarski zavod za Pomurje kot strokovna inštitucija za področje kmetijstva, je konec leta 1994 z namenom postopnega uvajanja namakalnega sistema tudi na pomurske kmetijske površine ustanovilo Pomurski namakalni konzorcij. ",leto;sistem
"Izziv je bil za vse velik, saj v pomurski regiji kot izrazito kmetijskem območju do takrat skorajda niso namakali površin. ",velik
Tudi na ta način se zemljišča varujejo in v zakonu bi moral biti dan še večji poudarek temu. ,velik
Vse živali je treba iz hleva izpustiti najmanj 180 dni na leto. ,leto
"Res je, da za darove navadno niso prosili s pesmijo, marveč so hodili od vrat do vrat in spraševali: »Mate kej za maškorade?« ",vrata
"1433 Skupni nameni: Nadomestilo pri cenah kmetijskih proizvodov in intervencijski nakupi (Interventni odkup vina v letu 1998, Podpora odkupu koruze za zrnje letine 1998, Pokrivanje razlike pri odkupni ceni sladkorne pese letine 1998, Sofinanciranje nabavne cene sladkorja za zimsko krmljenje čebel, pokrivanje stroškov za uporabo koncentriranega grozdnega mošta za obogatitev vina)",leto
"Slovenski vinogradniki se pred začetkom spomladanskih del odločajo tudi za obnove, vendar so v vinogradniških društvih upravičeno zaskrbljeni, da jih bo zaradi krize pri prodaji vina bistveno manj kot prejšnja leta. ",leto
"Z Bibi Anderson in Evo Dahlbeck si je leta 1958 v Cannesu delila nagrado za najboljšo igralko, in sicer za vlogo v filmu Ob robu življenja.",leto
"Božena Balažic,VVZ Velika Nedelja,,2274 Velika Nedelja",velik;velik
To je velika nova zgradba. ,velik
"Oče zbira večje predmete, ki jih ne potrebujejo več kosovni odpad, dedek pa polni škatlo z nevarnimi odpadki. ",velik
"Očka zbira večje predmete, ki jih ne potrebujejo več: staro pohištvo, preproge, star televizor, kolo. ",velik
"Po prepovedi, stečaju, sporu okoli lastništva in neuspeli prodaji nemškemu medijskemu mogotcu Bertelsmannu je konec lanskega leta blagovno znamko in tehnologijo za 5 milijonov dolarjev kupilo podjetje Roxio (www.roxio.com), znano po programih za snemanje na plošče CD-R/W. Pri Roxiu bi radi Napster spremenili v servis za internetni nakup glasbe, ki bi jo lahko kupci z njihovim programom potem tudi kar takoj posneli na plošče. ",leto
"Trenutno se pogajajo z velikimi glasbenimi založbami, kajti od njih bo odvisno, kakšnega mačka v žaklju je Roxio pravzaprav kupil. ",velik
"Brez velike vneme, a tudi brez vsakršne zadrege. ",velik
"Star je bil štiriindvajset let, ona jih je imela sedemnajst in bila je noseča z njim.",leto
"Svetlolasa je, pegasta in s konjskim repom, njen fant pa študira medicino v Perthu, igra ragbi za univerzitetno moštvo? ",rep;igrati
"Isti pedantni, kakor britev ostri glas, vsaj tri stopnje premočan zanj. ",oster
"Tu in tam iz vljudnosti izmenja platonsko besedo ali dve s katero izmed nespodobno velikega števila lepotic v skvotu, a zgolj zato, ker že nekaj ur po sprejemu v komuno začne trikrat na teden galantno nuditi brezplačne inštrukcije iz angleške konverzacije vsakomur, ki se mu je zahoče.",velik
"Toda Berlin mora zaceliti večje, starejše in precej bolj nevarne rane kakor vse druge univerze skupaj. ",velik
"Zaloputneš prednja vrata pred preteklostjo, pa se ti priplazi nazaj skozi zadnja. ",vrata
Ali vsi mali slikarji ustvarjajo velika platna? ,velik
"Ime pošiljatelja je z velikimi svetlečimi črkami natisnjeno v gornjem levem kotu: Epstein, Benjamin & Longford, naslov ta in ta, očitno velik, razkošen urad. ",velik;velik
"Najmlajši je čustveni temnopolti Hamlet, ki ga kličejo Lexham in še nima šestnajst let, kostumi pa so delo Sally Šivanke, drobcene male Portugalke. ",leto
"V kratkem času skupnega bivanja v gledališki skupini so nastopili v cenenih prenočiščih, za udeležence stavkovnih straž, vrste čakajočih na brezplačno juho, pred tovarniškimi vrati in v delavskih menzah v času za kosilo. ",vrata
"In kako sijajna je priložnost, da angleško-vzhodnonemške kulturne odnose pomaknejo za deset let nazaj.",leto
"S tovarišico Inge na eni in profesorjem na drugi strani Mundy vdihava grobnični zrak Goethejeve poletne hišice in se celo dotakne mize, na kateri je ustvarjal veliki pesnik. ",velik
"Če v Amoryju vzbuja radovednost, je sam sebi še večja uganka. ",velik
"To so njihov nepričakovano globoki smeh, nenadni trzljaj, skupno navdušenje, nekoliko okretnejši jezik in urno švigajoče oči. ",jezik
Druži jih komaj opazna sled velike tatvine. ,velik
"To je njihov drugi skupni večer, zato Mundy že pozna hierarhično lestvico. ",lestvica
"Kako pa naj vem? sem odgovoril, ko ga nisem videl že skoraj dvajset let. ",leto
"Se dovolj vidno ukvarjam z veliko odločitvijo, jezen na Saša, ker me je zbezal na plan? ",velik
"Ted ne bo ves dan igral golfa in ob štirih ali še prej sedel k televizorju Še malo potrpi, dragi Jake, prav? ",igrati
"Kajti, med nama, Ted, pri tvojih letih in na tvojem položaju stavka obzirno ne izreče do konca, prav tako, kot malo prej ni do konca povedala, kaj misli o njunem zakonu in njegovih pomanjkljivostih, med katerimi je na prvem mestu pogosta Mundyjeva fizična in še nenavadna duševna odsotnost pred vsakim potovanjem in po njem, zaradi česar bi marsikatera druga žena sklepala, da ima njen mož še kakšen interes; a ker ji prisega, da ga nima, ne bo več vrtala vanj.",leto
"Morda je groza pogojena z dolžino njegovega telesa, ki ga je treba zapreti. ",zapreti
Pomembna spremenljivka je stanje sovražnosti v hladni vojni. ,hladen
Po vseh letih vojn in delitev bo Srednja Evropa končno talilni lonec miru.« ,leto
"Nikakršne Großdeutschland ne smemo dopustiti, nikakršne velike Nemčije pod nadvlado katere koli velesile. ",velik
"»Učiteljica nam je naročila, naj gledamo zgodovino v nastajanju,« samovšečno pojasni Lorna.",zgodovina
Toda po več ko desetih letih morata prijatelja pogovor dvigniti nad prazno govoričenje.,leto
"Džip je nov, velik, ameriški, z veliko kroma in luči. ",velik
"Za krmilom nepremično sedi koščena ženska srednjih let, pokrita z ruto. ",leto
"Mundyja preblisne, da je podobna ženski v širokem plašču iz velurja, ki je nervozno brskala po torbici in iskala ključ vhodnih vrat, ko se je tri ure prej vzpenjal po tistih zavitih stopnicah, toda Sašu na ljubo misel zadrži zase. ",vrata
Nihče ne bi mogel od njega zahtevati večje zbranosti.,velik
"Dvainsedemdesetega je tolpa Baader-Meinhof ubila nekaj ameriških vojakov in z bazuko razstrelila limuzino ameriškega generala Nata; malo je manjkalo, pa bi bila odpihnila še generala. ",ubiti
"Ponujamo ti tudi prešolanje, ampak za to si najbrž že malo v letih. ",leto
Mundy stoji pri velikem polkrožnem oknu v prvem nadstropju šole v Heidelbergu in opazuje z opečnimi zidaki tlakovano stezo k železnim vratom v ograji. ,velik;vrata
"»Saša, med tvojim dolgim safarijem v tistih izgubljenih letih, ko si mi pisal «",leto
"Nocojšnji favorit je Frantz Fanon in njegovi V suženjstvo zakleti v devetih jezikih, zato zaploskajmo bratu Frantzu, ki je pripotoval iz daljnega Berlina, da bi bil nocoj z nami.",jezik
Parlamentarna opozicija se je pridružila uglašenemu zboru. ,zbor
"Osnova za odmero pravic iz prejšnjega odstavka je posameznikova povprečna plača oziroma povprečna plača na delovnem mestu policista v zadnjem letu pred nastankom poškodbe, če je to zanj ugodneje, ali če ni v delovnem razmerju.",leto
"Policisti lahko brez odločbe sodišča vstopijo v tuje stanovanje in druge prostore, če je to potrebno zaradi preprečitve samomora, če se preverjajo okoliščine, ki kažejo na smrt določene osebe v tem prostoru, ali če gre za preprečitev konkretne nevarnosti za ljudi in premoženje.",tuj
Akt o ustanovitvi sprejme Državni zbor Republike Slovenije.,zbor
"Kje praviš, da je spravljen ta dinamit, ki eksplodira s predtakti?«",eksplodirati
"»Tega ti ne razumeš, pa ni časa, da bi ti razlagal preteklih štirideset let svojega življenja!« je vpil zmajar. ",leto
"»Ob kavi lahko preberete zbrana dela največjega pisatelja, ki je kdaj koli živel tod. ",velik
"»Ja, neslo ga je pred tridesetimi leti. ",leto
"Veroniko je peljal k tirom in tam ju je pomendral precej velik kamen, ki se je potem prilolal v mesto in podrl občinsko hišo!« je povedal starček. ",velik
"»Kompetenca!« je rekel Domen Fras in se žalostno zmračil ob misli na preminulo mater, ki je končala kot žrtev morilske diatonične harmonike pri enem nedeljskih kosil, ko je bil Domen star enajst let.",leto
PRVA LETNA OCENA BRUTO DOMAČEGA PROIZVODA ZA LETO 2004 IN REVIZIJA ZA OBDOBJE 2000–2003 Statistični urad Republike Slovenije (SURS) je 15. septembra 2005 objavil prvo letno oceno bruto domačega proizvoda (BDP) v letu 2004 in revizijo BDP za obdobje 20002003. ,leto;leto
"Po prvi letni oceni je BDP v tekočih cenah v letu 2004 znašal 6.251 milijard SIT in je bil za 60,1 milijarde SIT večji od predhodno ocenjenega na podlagi četrtletnih računov. ",leto;velik
Učinek alokacije PSMFP končnim uporabnikom je v povprečju nominalno za približno 1 % večji BDP in bruto nacionalni dohodek. ,velik
"Zaradi prerazporeditve PMSFP in uvedbe obračuna v stalnih cenah preteklega leta pa se od doslej objavljenih razlikujejo tudi stopnje realne rasti BDP, v obdobju 2000-2003 za največ 0,2 odstotne točke. ",leto
"Realna rast BDP v letu 2004 je bila na osnovi prve letne ocene 4,2-odstotna, kar je za 0,4 odstotne točke manj od prvotne ocene na osnovi četrtletnih ocen (in tudi bliže lanski jesenski napovedi UMAR, ki je bila 4 %). ",leto
"V izdatkovni strukturi rasti BDP sta za leto 2004 glavni spremembi, ki sta prispevali k znižanju ocenjene rasti, nižja realna rast bruto investicij v osnovna sredstva (ocena znižana s 6,8 % na 5,9 %), ter višja ocena rasti uvoza proizvodov in storitev (povišana na 13,2 %, predhodno 12,4 %). ",leto
"JESENSKA NAPOVED GOSPODARSKIH GIBANJ ZA OBDOBJE 2005-2007 3.1 Analiza tekočih gibanj in napoved gospodarske rasti za obdobje 2005-2007 V prvi polovici leta 2005 je bila gospodarska rast 3,9-odstotna. ",leto
"Po 2,6-odstotni rasti v prvem četrtletju se je BDP v drugem četrtletju na medletni ravni realno povečal za 5,2 %1, kar predstavlja najvišjo rast po prvem četrtletju leta 2000. ",leto
"Realna rast izvoza proizvodov in storitev je v prvih dveh četrtletjih letos kljub umiritvi glede na dosežene ravni v lanskem letu ostala visoka (10,0 % in 10,9 % medletno; v povprečju 10,5 %), rast uvoza pa se je v drugem četrtletju močno znižala (8,3 %,",leto
Skladno s temi spremembami in upoštevajoč tekoča gibanja v prvi polovici leta,leto
"Ker sem se zavedal te »revolucije« v njenem pravem pomenu, sem naredil vse, da bi pred njo obvaroval svoje študente na Visoki šoli za kemično industrijo v Lyonu v obdobju enajstih let (1978–1989), ko sem bil direktor. ",leto
"V sektorju široke distribucije je zaposlenih veliko ljudi, ki so začeli čisto na dnu lestvice, v skladišču, danes pa so vodilni kadri. ",lestvica
"Preživljal se je, kot je vedel in znal, z »občasnim delom«, in nekega dne, ko je bil v veliki stiski (rekel mi je, da bi skoraj umrl od lakote) in je štopal, mu je ustavil moški z imenom Fournier, takratni generalni direktor trgovske verige Carrefour. ",velik
"Zapletla sta se v pogovor in generalni direktor je razbral, da je moški res v veliki stiski. ",velik
"Ker sem bil tudi sam več kot deset let sindikalist – zaradi funkcije, ki sem jo opravljal na področju upravljanja človeških virov v podjetju, sem imel določene zadržke –, vem, da lahko sindikalizem zelo veliko doprinese posamezniku. ",leto
"Glede na svojo naravoslovno izobrazbo in začetke na področju raziskovalnega dela nisem usmerjen k področju človeških virov in človeških odnosov, pa vendar sem bil aktiven sindikalist …",aktiven
"V predzadnjem tednu letošnjega julija, ko je Bled dobesedno vrel od vsakovrstnih prireditev, so na streljaj oddaljenem poligonu za kasting, po mnenju tujih tekmovalcev med najlepšimi v Evropi, potekale priprave in treningi za 5. evropski pokal v kastingu. ",tuj
"Pri tem so imeli zelo veliko vlogo tako imenovani »sveti kraji«, izbrana mesta v naravi, in poznavanje kozmičnih povezav. ",velik
"Največja napaka pri zdravljenju bolezni je, da preveč ločujemo telo in dušo, čeprav ju pravzaprav sploh ni mogoče ločiti. ",velik
O zdravljenju z rokami pričajo najstarejši dokazi v zgodovini človeštva. ,zgodovina
"Prikličite si v zavest slike in spomine, ki vam predstavljajo element zraka: sprehod ob morju, med katerim se zaganja v vas oster veter, rahel poletni vetrič, ki premika drevesne krošnje, čisti zrak zgodaj zjutraj nekje na prostem v naravi. ",oster
Trdno verovanje v nekaj razvije največjo energijo. ,velik
"Čim preprosteje, s svojimi besedami, opišite naloge imunskega sistema, nato skupaj z otrokom narišite slike za najpomembnejše funkcije. ",sistem
"Fagocite narišite kot majhne požrešne kroglice z ostrimi zobmi, celice B, ki tvorijo obrambna telesca, pa kot delavce s kladivom in dletom ali kot peke, ki na dolgih deskah pripravljajo nova obrambna telesca, jih porinejo v peč in spečejo. ",oster
"Risanje sodi med pomembne ustvarjalne dejavnosti, ki krepijo naš imunski sistem. ",sistem
Je velik in močan ali majhen in nemočen? ,velik
Zaprite oči in začnite vajo. ,zapreti
Kaj priporoča za krepitev imunskega sistema naravno zdravilstvo,sistem
Živčni sistem služi predvsem za prenašanje sporočil. ,sistem
"Če naše oko na primer zagleda palico, ki jo ima zaradi strahu pred kačami za kačo, živčni sistem nožnim mišicam takoj posreduje impulz, naj stečejo proč. ",sistem
"Čim bolj nezavedno smo izpostavljeni vsem dražljajem od znotraj ali od zunaj, tem močneje je obremenjen deloma tudi preobremenjen naš živčni sistem. ",sistem
"Vzdražen mehur spodbuja nastanek vnetij mehurja, ki se pojavljajo predvsem v otroških letih in pri ženskah v spolno aktivni starostni dobi. ",leto;aktiven
"Vzrok, da so te težave pogostejše pri ženskah, je najbrž krajša sečnica in s tem tudi večja nevarnost, da se bolezenski povzročitelji iz debelega črevesa ali klice, prenesene s spolnim odnosom, razširijo v sečni mehur. ",velik
središče dihanja 116,dihanje
"Tam sta ga zmagali utrujenost in pijača, zaspal je na prijetno hladnih kamnitih tleh in se zbudil šele proti večeru. ",hladen
"Samo ta del vasi se je imenoval vas, vsi drugi konci so imeli svoja posebna imena: Goje, Žabja vas, sejmišče, čeprav v Gojah ni bilo gojev, kar že to je, v Žabji vasi komaj kaj žab in na sejmišču že dolgo ne več sejmov, samo kak vrtiljak na ročni pogon je stal tam dvakrat na leto po nekaj dni.",leto
Pribila bova vse skupaj tjale nad občinska vrata.«,vrata
Potem je pred letom dni odšel v partizane. ,leto
"»Kotla za svinjekuho nima, štiri leta ni mogel dobiti novega, ko mu je stari počil in je moral kuhat svinjam v loncih na štedilniku, tega pa nikomur ne privoščim,« je godrnjal Repovž in si dolgo prižigal cigareto, da mu ne bi bilo treba gledati otovorjenih kmetov, ki so hiteli na vse strani povprek čez vas, na videz neurejeno in zbegano, v resnici pa vsak po svoji najkrajši poti, tako prazen kot obložen.",leto
"Ogrizku pa je poslej spomin na dva dogodka v življenju pomagal prenašati sivo mreno na duši, ki sta mu jo zapustili dve vojni in jo je trideset let kanglice s fižolom na jutranjem vlaku ustrojilo v trdo skorjo. ",leto
"Zbral je obe predvojni igralski družini, klerikalno in liberalno, za največjo uprizoritev Divjega lovca, kar jih je kdaj bilo v dolini. ",velik;lovec
"Iz dvorane je bila stvar videti takole: biriči so ustrelili, močno je počilo, se pokadilo in zasmrdelo po smodniku, oder je pokril omet in prah, divji lovec Janez je omahnil in padel v prepad, nekdo drug je v prepadu nečloveško zatulil, kakor da ga dajejo iz kože, nakar sta iz prepada skočila Pavlovec in mladi Sadar in stekla vsak na svojo stran za kulise.",lovec
"Kljub dimu in prahu so videli, da leti divji lovec Janez nad svojega prijatelja s puškinim kopitom naprej, namerjenim onemu spodaj naravnost v trebuh. ",lovec
