Polisemna lema;Stavek
braniti;Iz vrst madžarskega prvaka pa ne prihaja vratar Levente Szuper , ki ga je leta 2000 na naboru izbralo NHL moštvo Calgary Flames, zdaj pa brani pri švedskem prvoligašu Malmö. 
braniti;Ko je v Sloveniji izbruhnila osamosvojitvena vojna, se je takoj vrnil v prvo domovino in se ponudil, da jo pomaga braniti pred napadalci.
braniti;Nebogljena štirikilogramska medvedka se nista mogla braniti pred divjim lovskim psom, ki je enega od njiju raztrgal – tako piše v uradnem poročilu Agencije za okolje –, preden ga je gospodar priklical iz brloga, drugi pa je zaradi ran in lakote poginil dan pozneje.
braniti;Društvo za zaščito živali običajno odlikuje ljudi, ki branijo živali. 
braniti;»V tem primeru nagrajujemo žival, ki je branila ljudi. 
braniti;Odvetnika je žalil in mu celo grozil ter tako porušil zaupanje, ki mora vladati med odvetnikom in njegovim klientom, je povedal Jovanović, zato ga sam ni več pripravljen braniti. 
braniti;Otrok se običajno najbolj brani tiste hrane, s katero ga starši najbolj silijo. 
braniti;Pred pregledom v zadnjih dneh avgusta bo vsaj enkrat, če ne dvakrat, branila barve Slovenije na tujem, saj je kandidatka za mladinsko in kadetsko državno izbrano vrsto, ki jo čakata evropski prvenstvi v Romuniji in Italiji. 
braniti;»Vsem sem povedala le resnico!« sem se branila. 
braniti;Reprezentanco vodita Aleš Čeh in Željko Milinovič , ki sta barve Slovenija branila na evropskem in svetovnem prvenstvu ter ju tudi zanima ureditev zavarovanj za nogometaše. 
braniti;Uradniški ustroj pa se bo tudi vnaprej mirno zapletal z nesmisli sam vase in se nato branil z odločbami, na katere se ni možno pritožiti.
braniti;V zagovoru se brani, da ne ve, od kod mamilo v najetem avtomobilu. 
braniti;Za zvezdnikom londonskega moštva sta se uvrstila bočni vezist Manchester Cityja Martin Petrov in vratar Georgij Petkov, ki brani za Levski iz Sofije. 
braniti;Mama je zamerila Juliu, ker se važi s takimi rečmi, tatek pa je pojasnil, da so šehiti borci, ki umrejo, medtem ko branijo svojo vero, družine in domove.)
braniti;Cyrus se je zaradi nekakšnega nejasnega razloga čutil dolžnega, da brani svoj spol. 
braniti;Leta 1429, ko je bilo drugo največje francosko mesto, takoj za Parizom, ga je, po osemmesečnem obleganju Angležev, branila Ivana Orleanska. 
braniti;Ne, ne… se je skoraj branila… 
braniti;Diplomacija je zanimiva za medije, često pišejo o njej, še posebej, če se dogajajo kakšni pomembni dogodki, in nemalo kolegov poznam, ki se radi pokažejo pred novinarji, se karseda neopazno, a če je le mogoče, učinkovito nastavijo fotoreporterjem in se, ne da bi se kaj dosti branili, odzovejo na povabilo, naj dajo kakšen intervju. 
braniti;Aleš pravi, da se dela nikoli ni branil in to so opazili tudi njegovi nadrejeni. 
braniti;Komaj devetnajstletni fant doma iz Dolenjskih Toplic se je prvič srečal s taboriščem, ko je šel branit svojo domovino, pa so ga prestregli ustaši (Zagreb 1941). 
braniti;"Ni namen tega pisanja napadati ali braniti takšne ali drugačne ideološke koncepte; gre mi bolj za ugotavljanje dejstev. "
braniti;Vedno ga je branila in kar se Blaire tiče, ji ga ne bi bilo treba. 
braniti;Ali mi kdo to brani?«
braniti;Mehika ima v mislih spremembe, ki jih pogojuje boj proti terorizmu, mamilom in nelegalni trgovini z orožjem, torej boj proti skupnemu sovražniku, sem pa spadajo tudi gospodarsko zaostajanje, revščina in kršenje človeških pravic, in ne več ogroženost celine, ki bi se morala braniti z vojaško zvezo, kot se je izrazil mehiški predsednik.
braniti;Brani se.
braniti;Nekaj let sem že vdova, želim si moškega za sprehode, pogovor, tudi toplega objema se ne bi branila. 
braniti;Njeno ime še danes nosi malo morje severno od Sicilije, otoka pomembnih kolonij, ki so ga so Feničani pred konkurenčnimi grškimi kolonizatorji dolga leta zvijačno branili z mitom, da je bruhajoči vulkan Etna kovaška delavnica boga Hefaistosa.
braniti;Sedaj je namreč treba z argumenti braniti Titovo ime in ne le pridno ponavljati zapovedano!
braniti;Torej ga bodo Galci branili. 
braniti;Rima nihče več ne brani!
braniti;Meščani, ki branijo dostop v pristanišče, pa so Pompejeve ladje sprejeli z navdušenjem. 
braniti;Na soško fronto so Avstrijci poslali največ slovenskih regimentov, ker so dobro vedeli, da bodo Slovenci branili svoje ozemlje. 
braniti;Predvideval je namreč, da bodo nekateri branili siromake pred grožnjo izgona, drugi pa bodo navajali besede evangelija: Pauperes semper habebitis vobiscum in končno bodo tudi sami siromaki neprijazno sprejeli spremembo svojega načina življenja in nujnost dela. 
braniti;Toda sklenili ste, da nas boste iztrebili in moral je obleči vojaško suknjo in braniti mesto. 
braniti;Z vidika klasične utilitaristične etike je tako učiteljevo ravnanje mogoče braniti, toda nemogoče ga je obenem razumeti kot ocenjevanje znanja. 
braniti;»Dogovorila sva se!« se je branil Evgen.
braniti;Mariborske barve bodo v tej atraktivni dirki na 2100-metrski tekmovalni stezi branil Dirkas na vajetih Jožeta Šilaka. 
braniti;»Ja, s sabo ga sigurno ne nosim,« sem se slabo branil. 
braniti;S tako držo telesa govorite, da ste neodločni, da se branite.
braniti;Ko bo sodišče začelo preiskovati početje, v katero je bil vpleten Adam, me bo milo prosila, naj ji priskočim na pomoč in branim značaj njenega moža.
braniti;Ose, podobno kot čebele, uvrščamo v red kožekrilcev (Hymenoptera), ki jim je skupno, da imajo dva para kožnatih kril, so sicer miroljubne, vendar postanejo veliko bolj agresivne, ko so razdražene ali kadar branijo svoja gnezda. 
braniti;V celinskem področju nas pred vetrom branijo tudi smreke. 
braniti;Torej sodi med tiste zaščitne snovi, ki nas branijo pred prostimi radikali, ki lahko bombardirajo ali poškodujejo najrazličnejših delov celic in ki prispevajo pomemben delež k razvoju bolezni (na primer bolezni srca in ožilja ter raka) in tudi k staranju. 
braniti;Po razkritju te zanj neprijetne informacije se je branil z besedami, da se je najbrž nekdo zmotil pri zbiranju njegovih podatkov. 
braniti;"»Gozd ni naprodaj; to je naše življenje in še vedno smo ga branili. "
braniti;Micha je stisnil pesti in jih postavil pred svoj obraz, da bi se branil. 
braniti;"Videli bomo, ali nam govori o svojih uspehih in neuspehih ter jih želi deliti z nami; ali nam je v čustveno oporo, ali se veseli naših uspehov in sočustvuje z nami, ko nam je težko, ali nam pomaga, ko smo v težavah (po lastni volji ali ga moramo k temu pripraviti, ga prositi); ali zastopa naše mnenje in nas brani, ko nismo prisotni, ali se trudi biti dobre volje, kadar je z nami."
braniti;Vem, da bo zavezan resnici, da jo bo branil in iskal.
braniti;»Zakaj me pa nista spomnila?« se je branil Matic. 
braniti;Toda Šadman Mamedogli ji je odgovoril, da njegov sin ni ničesar kriv, ker ni storil drugega, kot branil sestrino čast. 
braniti;Tako bi srebrno odličje dobil Madžar Krisztian Pars , bron pa Japonec Kodži Murofuši , ki je v Pekingu branil olimpijski naslov iz Aten. 
braniti;Gorje mu, ki bi vas hotel zlorabiti – znate se postaviti zase in braniti svoj prav.
braniti;Puščavski lisjak bo branil trinajsto mesto med motoristi, želi si vsaj med prvo petnajsterico. 
braniti;Zanimivo je, da je med neizvoljenimi poleg Čopa tudi kitajski tekaški idol Liu Xiang , ki bi v teku na 110 metrov z ovirami branil zlato iz Aten, a je moral zaradi poškodbe odstopiti.
braniti;Zanimajo ga samuraji in učiva ga, da ni nič narobe, če si pripravljen nekoga braniti. 
braniti;Prvoobtoženi Livadić , ki je že skoraj devet mesecev v priporu, se je v preiskavi branil z molkom in tako je nadaljeval tudi na glavni obravnavi. 
braniti;Po naših neuradnih podatkih pa se bo v dogovoru z zagovornikom Grobelnikom branil pred koncem sojenja. 
braniti;Žirafe se branijo z brcami, ki so vse prej kot nedolžne – zgodilo se je že, da so kakšnega kralja živali celo ubile.
braniti;Ljudje zahtevajo ukrepanje in zaščito pred podobnimi dejanji zločincev, minister pa se brani, da policija dela z vso močjo in da so se ugrabitelji znova vdrli v zemljo. 
braniti;»Karadažić bo imel v Srbiji strokovno pravno ekipo, ki mu bo pomagala z nasveti, pred sodiščem pa se bo branil sam, kot to mojstrsko počne Vojislav Šešelj ,« je danes povedal njegov odvetnik Svetozar Vujačić , in ponovil, da bo s pritožbo na odločitev preiskovalnega sodnika Milana Dilparića , češ da so izpolnjeni vsi pogoji za izročitev Karadžića mednarodnemu sodišču za vojne zločine na območju nekdanje Jugoslavije, počakal do konca tridnevnega roka, torej do petka. 
braniti;Od tam so ga tudi privedli na sodišče, kjer se je branil, da ničesar ni vedel in da govori samo resnico. 
braniti;»V šolo moram …« se je branil Dejan in pogledoval zdaj Ines, zdaj njeno prijateljico, ki je spustila roleto, da je soba potonila v polmrak.
braniti;Če bo treba, se bomo branili.
braniti;te ne bo nihče branil.
braniti;Branil te bom.
braniti;da ne boš branil le sebe,
braniti;Čital sem zgodbo o deklici in njenih igračah, lesenih vojakih, ki so jo branili pred jeznim volkom. 
braniti;Beg nemočnega naroda, ki ga brani razorožena domobranska vojska (leseni vojaki), narod, ki ga ogroža jezni volk: partizani, Titova vojska.
braniti;Otroški psiholog Šapovalov pa brani svojo stvaritev, češ da večina najstnic pozna lezbična občutja. 
braniti;"Še sreča: čez nekaj sekund se je namreč pojavil kosmat bel kužek, ki je pokazal živo zanimanje za gležnje kuharskega mojstra; naravnost zagrizen je bil, sodeč po laježu, s katerim ju je poskušal doseči; Néstor, ki je ves zlezel na stol, pa ni vedel, ali bi se branil ali bi ga brcnil, kar bi zverino gotovo utišalo."
braniti;Josip Jurčič pripoveduje zgodbo o ljubljanskih meščanih, ki v sporu s samovoljno fevdalno gospodo branijo mestne pravice in jih tudi uveljavijo. 
braniti;Raziskave kaŽejo, da je pitje belega vina povezano z boljšim delovanjem pljuč, snovi v vinu pa tudi branijo organsko tkivo pred nevarnimi prostimi radikali. 
braniti;Starši mu niso branili piti niti mu niso razložili, kam ga lahko zapelje vsakodnevno uživanje te dobre, a zanj usodne kapljice. 
braniti;Bor se je branil! 
braniti;Ob obletnici pripravljajo turnejo po Sloveniji, ne bodo pa se branili niti povabil, da igrajo na zasebnih zabavah. 
braniti;Problem niso, pravijo, Nozickovi sklepi, ampak njegov poskus, da bi jih branil s sklicevanjem na Kantovo egalitarno idejo obravnavanja ljudi kot smotrov na sebi. 
braniti;Kaj bi pomenilo za libertarce, če bi svoje najljubše svoboščine branili s sklicevanjem na načelo svobode? 
braniti;Podobno aristotelski republikanci očitajo liberalnemu vrednotenju »zasebnega« življenja, da je oblika »atomizma«, in branijo politično udeležbo kot način uresničevanja človeku lastnih potreb po vzpostavljanju družbenih vezi in odnosov. 
braniti;Dela se nisem nikdar branil. 
braniti;Zato so na najbolj kritičnem delu mesta zgradili obzidje, ki je v času največjega razcveta branilo le del mesta, saj se je v tistem obdobju mesto širilo tudi v predmestja pred obzidjem. 
braniti;Vse skupaj bo slišal kot signal, da se mora braniti. 
braniti;Zato se je stisnil k Tanji in čakal, pripravljen, da jo bo branil pred vsako nevarnostjo, ki bi ji grozila.
braniti;»Botonjič je na prijateljski tekmi v Avstriji, ko smo se pomerili s praško Sparto, dokazal, da lahko brani tudi s trenutno telesno težo. 
braniti;Dokler se ne bo pobral, verjetno ne bo branil, prednost bo imel Jan Oblak.«
braniti;Vrhunec zabavnega in družabnega popoldneva, je bila živopisana predstavitev lika tamkajšnjega srednjeveškega junaka Hadika, ki je mesto branil pred Turki. 
braniti;»Pa bi jih,« sem ugovarjal, »če bi bila na njem vojska, ki bi ga branila.« 
braniti;nenadoma si je zaželel, da bi jo branil pred bolečino, ki ji jo je sam prizadel. 
braniti;da ste nas pripravljeni braniti, gospa.”
braniti;»AMPAK ZA VSE KRATKO MALO NI ČASA,« SE JE BRANIL WALLANDER. 
braniti;Če že ne ravno obramba, si je dejal, kajti dejansko se nima pred čim braniti, pa bo ojačal svojo pozicijo.
braniti;»Saj se ne branim kakega dima, če je prilika,« je rekel Nicolet, »saj veste, na zabavah. 
braniti;Vsi si želimo, da bi nas sogovornik slišal in upošteval, tako kot si tudi želimo, da bi znali braniti svoja stališča in zahteve. 
braniti;S čustvenim izsiljevanjem se branijo pred strahom in prizadetostjo. 
braniti;Če jim povemo kritične pripombe na štiri oči, se manj upirajo in se ne branijo. 
braniti;»Mogoče,« je rekla Maddy, razpeta med potrebo, da brani Jacka, in sočustvovanjem z Gregom. 
braniti;Fishenauer se je začel divje premetavati in braniti. 
braniti;Ali z drugimi besedami za prehod od jezikovnega in kulturnega izročila, pojmovanega kot dediščino, ki jo je treba braniti in ščititi, v dediščino, pojmovano kot kapital za nove investicije, s katerimi ustvariti novo bogastvo za celoten teritorij. 
braniti;Skušal je braniti početje Gie z zakoni islama, a ni vedel, o čem govori. 
braniti;Tako kot dober odvetnik, ki ve, da je njegov klient kriv, a ga bo z vsemi sredstvi branil, pa čeprav na račun pravne države. 
braniti;Janša se danes brani tako nerodno, da hrvaške kupce javno vleče za jezik in pri tem upa, da se morda nihče ne bo odzval. 
braniti;Radar je v bližini Gradca,« nam v majhni sobici z računalniki pripoveduje Darko Kralj, vodja projekta obrambe pred točo, ki odgovarja meteorologom: »V Evropi se podobno branijo pred točo dežele, ki ležijo v podalpskih lokih (avstrijska Štajerska, okolica Linza in Dunaja, južna Nemčija, del Švice, okolica Soluna …). 
braniti;Tudi Mariborčani se bodo osredotočili na domače moči, reprezentantom Ulu, Šmarčanu, Jokiču in Šuliču se je pridružil vratar Lovše, ki je lani branil v Kopru. 
braniti;Samostojni švicarski založnik Urs Engeler z izdajanjem revije Zwischen den Zeilen (Med vrsticami) po Štegrovem mnenju prav viteško brani literaturo, Engeler pa je povedal, da ga zanima le estetika v primarni in sekundarni obliki, čeravno poezija v Švici nima nikakršnega vpliva.
braniti;Uroš se je komaj branil s kakšnim metom. 
braniti;Vprašanje zaposlenih v tujem jeziku sredi prodajalne v Sloveniji je marsikdo doživel kot hudo jezikovno žalitev, lastniki so se branili s pojasnilom, da so tuje prodajalke zgolj v pomoč domačim. 
braniti;»Ne razumem,« sem se skušal braniti.
braniti;Nedvoumno je povedal, da ti narodi, medtem ko branijo svoje manjšine v drugih državah, zatirajo narodne manj-šine v svoji državi. 
braniti;Zdaj to storiti nam brani ponos. 
braniti;• Veliki trnati paličnjak se prikrije z obliko, barvo in se brani s trni. 
braniti;V dialogu o klasični in moderni drami brani pripovedovalec red, Fritz pa kaos, druga na drugo trčita dve zavesti, dve ideji, in junaka ju razrešujeta tako, da vztrajata vsak na svojem bregu, drug drugega hočeta razorožiti, s protivprašanji umsko premagati. 
braniti;Če se braniš, napadalca ustreliš v prednji del telesa,« je razmišljal tožilec. 
braniti;Ekipa TURBO HIT, ki je steber državne reprezentance, bo na moštvenem evropskem prvenstvu marca branila srebrno kolajno, ki jo je lani osvojila v Zagrebu. 
braniti;Če se dobro počutijo, se sami dokaj dobro branijo pred mnogimi boleznimi in škodljivci. 
braniti;Človek, ki je lačen in žejen, se ne bo branil kosila. 
braniti;"-- naše sile v moči okrepljenega bataljona branijo gozdnat, precej obsežen hrib;"
braniti;Spoznali so, da se bodo morali pred Turki braniti sami, saj se ob nevarnosti gospoda zapre v varne gradove, kmete pa prepusti napadalcem. 
braniti;Odločil se je, da se bo tam branil tako dolgo, dokler ne bodo prispele okrepitve, ki mu jih bo poslal poveljnik glavnine angleške vojske, general Clinton iz New Yorka. 
braniti;To so takoj utrdili, da se je lahko sama branila, dokler ni prišla pomoč. 
braniti;Splošna ofenziva Vietkonga bo Američane prisilila, da bodo branili ves Južni Vietnam in ne bodo mogli sil koncentrirati za pomoč Khe Sanhu. 
braniti;"Foucault zavrne pojem (metazgodovinske, nespremenljive) »človeške narave«; Chomsky ga brani, a ga razume tako, da zgodovinsko-družbeni praksi odvzame vsakršno pristno avtonomijo. "
braniti;»Njima ni bilo treba skrbeti za denar,« se je branil. 
braniti;Vikingi ob ničemer niso občutili krivde, svojo čast pa so strastno branili in so se za vsako ceno izogibali sramoti. 
braniti;Samci si morajo izboriti kos obale, ki ga potem ljubosumno branijo.
braniti;Prostor si morajo izbojevati v hudih spopadih, zato tudi meje odločno branijo. 
braniti;Nilski povodni konji pogumno branijo mladiče.
braniti;Iz Srbije je prišel avtor Enciklopedije Yu Rocka Petar Janjatović in nekaj drugih Vanjevih kolegov, bosansko-hrvaške barve pa so branili Elvis J. Kurtović in skupina Zabranjeno pušenje. 
braniti;Ta se sprva brani, potem pa le prevzame njegovo obrambo. 
braniti;»Kardinal: ›Cerkev bo samo branila svoje pravice, ničesar več ne bo uveljavljala s silo. 
braniti;Internetno pošto so v zadnjih letih tako rekoč preplavili uporabniki, ki jim vsaj prvotno ni bila namenjena in se jih vsaj zaenkrat le napol uspešno brani. 
braniti;Čeprav sta tudi onadva nosila modro-rumene uniforme, sta bila oborožena s tradicionalnim 'vatikanskim dolgim mečem', poltretji meter dolgim kopjem z ostrim rezilom, s kakršnimi so menda obglavili nešteto muslimanov, ko so v petnajstem stoletju branili krščanske križarje.
braniti;Fiju je divje kavsnil vsako roko, ki se ji je približala, kot da bi deklico hotel braniti. 
braniti;Pomagajte zatiranemu, zagovarjajte siroto, branite vdovo. 
braniti;ČE BI IMEL S SABO PSA, KI BI ME BRANIL, BI ŠE ŠLO, AMPAK CVETKO NI ZA NOBENO RABO.«
braniti;Zato so okuženi bolj izpostavljeni okužbam, pred katerimi se telo sicer samo brani. 
braniti;Problem se povečuje s časom, ker zaradi preveč škodljive hrane črevesje izgubi sposobnost braniti se pred prezakisanostjo, mikrobi in kemikalijami, ki uničujejo črevesno steno. 
braniti;Toda ko pride lakota, se ljudje ne branijo ničesar, kar deluje užitno. 
braniti;Ko je Leyla Zana branila pravice svojega moža, ki je bil v priporu, je leta 1991 kandidirala na turških parlamentarnih volitvah in v svojem volilnem okrožju Diyarbakir zbrala 84 odstotkov glasov. 
braniti;Ob izvolitvi je Kurdom obljubila, da «se bo borila, da bosta lahko kurdski in turški narod živela skupaj v demokratičnem sistemu.» Zaradi svojih govorov in člankov, v katerih je branila pravice Kurdov, je bila Leyla Zana skupaj s tremi drugimi kurdskimi poslanci, člani kurdske stranke za demokracijo, obtožena članstva v prepovedani Kurdski delavski stranki (PKK) in bila decembra 1994 na Sodišču za državno varnost v Ankari obsojena na 15-letno zaporno kazen. 
braniti;To se ti samo zdi,« se je branila Petra. 
braniti;Leta 1995 je ruska Duma skoraj enoglasno obsodila bombardiranje in zahtevala, da zunanji minister Andrej Kozirev odstopi, ker je neuspešno branil ruske nacionalne interese na Balkanu. 
braniti;Vprašanje je torej izrednega pomena in potrebna je seveda politična iniciativa tudi slovenske manjšine, ki je poklicana, da brani interese teritorija, na katerem je naseljena. 
braniti;Raje se je prepričal, da se znajo Avalon, Ali in Luciel braniti. 
braniti;Moja zmedena zavest se je branila, da bi kar takoj nadaljevala s sprejemanjem novih, dodatnih vtisov, ki so drli z dogajanja na multivizorju, podobni divji poplavi. 
braniti;Kurylenkova brani svojo vlogo in pravi, da je njena vloga Camille drugačna od prejšnjih Bondovih deklet. 
braniti;Zagotovo bi se moral braniti kot občan, saj bodo (6800)v nasprotnem primeru davkoplačevalci plačali stroške vnaprej izgubljenih tožb. 
braniti;Mogoče bi ga ugledala s ceste, se skušam braniti, čeprav se ne spomnim prav ničesar. 
braniti;"Dvorano je od pulta hotelske recepcije ločevalo kakšnih deset metrov in približno toliko pult od glavnih vrat, a Carlosu se je zaradi hrupa, ki se je dvignil po koncu oddaje, in zaradi nuje, da bi čim prej prišel iz tistega prostora, razdalja zazdela večna, in medtem ko jo je premagoval, je imel vtis, da si krči pot skozi goščavje, v katerem je vse polno prikazni: najprej Guiomarjeva - prijateljska prikazen - ki ga je vprašala, ali bo tisti večer prišel na proslavljanje zmage, in mu je nato sporočila, da v sredo pripravlja prvenstvo v pingpongu - Poljska proti Baskiji; potem Laurina - neprijetna prikazen - ki mu je poočitala njegovo grobost do Nurie, češ ali ga ni nič sram, le kako je mogel z vrati udariti žensko, ki se ne more braniti; nekoliko zatem - prijetna prikazen - prikazen Maríe Terese, ki mu je pojasnjevala, da bo verjetno zvečer na slavju z nogometaši tudi ples in da namerava plesati z Boniekom, a naj zato ne bo ljubosumen, kajti z njim si želi plesati le zato, da bo lahko pozneje o tem pripovedovala sinu; nazadnje - prava prikazen, saj je tedaj ni bilo v hotelu - Beatrizina prikazen. "
braniti;"Ne docela, saj so se ob poslušanju pesmi baskovskega vojaka pred njim še zmeraj prikazovale podobe tako dragih prijateljev, kot so bili Sabino, Beraxa in Otaegui, in tudi fotografije samomorilskih bataljonov, ki so jih organizirali leta 1937, da bi branili Bilbao pred fašizmom; a navzlic tem nadrobnostim se mu je zdelo, da se je znašel v položaju, ki mu ga je prerokoval brat, ali pa nemara v še slabšem, saj je spremembi v njegovem drobovju sledilo rojstvo Podgane, ki ga je šibila in ga tirala v smešno vedênje. "
braniti;Najbolj hvaležni smo jim bili za denar, ki so nam ga darovali, pač po svojih možnostih, a tudi drugih dobrot se nismo branili. 
braniti;Mirovnike, ki so se odločili za živi ščit, s katerim bodo branili Irak proti agresiji, težko razumem, saj s tem početjem predvsem dajejo zaščito diktatorju Huseinu, ki je v preteklosti že obračunaval s svojimi državljani Kurdi, z Iranom in Kuvajtom. 
braniti;Pes vas bo opozarjal na nevarnosti in branil vaše pravice, Tiger pa odganjal zveri! 
braniti;Čez leto raje več dramatično molčite, branite sebe in svoje z mogočno držo. 
braniti;Manjši je odgovoril: »Če se kaj dogodi temu ničetu tukaj, bo Gnuso Kurson vedel, da midva braniva svoje ljudi, to pa ne bo v redu.«
braniti;Še župan se ga ne bi branil, če bi mu projekt predstavil na ustrezen način. 
braniti;Ni se več bala Jakove jeze, nesramno se je obregnil ob njeno hčerko in pripravljena jo je bila braniti.
