Stavek,Polisemna lema
"Dodajanje vrednosti lahko vključuje različne stvari, odvisno od okoliščin in osnovnega cilja modela. ",lahko
"V nekaterih primerih lahko pomeni prihranek časa za prezaposlene posameznike, ki opravljajo dve službi. ",lahko
"V drugih primerih lahko gre za združevanje povpraševanja, kar odjemalcem omogoči, da uporabijo kolektivno moč barantanja. ",lahko
Podjetje ima svoje predstavnike v večini organov za standardizacijo. ,imeti
"Še enkrat se torej potrjuje, da imajo odprti sistemi veliko moč. ",imeti
"Model si lahko predstavljamo kot DNK organizacije, borzna vrednost podjetja pa je odvisna tudi od njegove sposobnosti ustvarjati prihodnje priložnosti, se pravi prihodnje ponudbe za odjemalce. ",lahko
"Vse organizacije morajo biti v trajnem dialogu, da lahko razvijejo stališče o tem, kako se utegne ustvarjanje vrednosti z leti spremeniti, vključno z morebitnimi selitvami vzdolž vrednostne verige. ",lahko
"Kako zveni vaše podjetje, kakšno je na dotik, kakšen okus ima in kako diši? ",imeti
"Lahko se pretvarjate, da ste Terminator, brez slehernega tveganja, da vas bo kdo ubil ali poslal v zapor. ",lahko
Koncert metalne skupine Entombed je en sam bes. ,sam
"Igrice PlayStation, Nintendo in Xbox pa tudi filmi imajo zvočno podlago. ",imeti
"Vsi vemo, kako zveni Intel, kako pa zveni vaše podjetje, kakšno je na dotik, kakšen okus ima in kako diši?",imeti
"Myroon E. Almon III. iz zelo uspešnega kozmetičnega podjetja Sephora celo trdi, da »ko se naši odjemalci sprehajajo po Peti aveniji, bi mi radi dosegli, da bi se vprašali, ali naj gredo v Muzej sodobne umetnosti ali v Sephoro«. ",peti
"Globlji in večplastnejši ko je vaš odnos z odjemalci, laže boste prepoznali in razumeli njihove nezadovoljene potrebe.«",lahko
"Bi jutri radi imeli višjo plačo, kot jo imate danes?",imeti;imeti
Jeruzalem in družina njegove matere imata v Arafatovem življenju prav poseben pomen. ,imeti
"Še pomembnejše pa je, da le kmet s svojo dejavnostjo (kmetovanjem) lahko ohrani kmetijsko zemljo v funkciji in s tem zagotovi, da bo ostala slovenska pokrajina kultivirana in Slovenija poseljena. ",lahko
"Mae mu bo lahko povedala vse, karkoli jo bo vprašal. ",lahko
Ta trapasta ura je ponorela. ,ura
"Ko si je Simon potešil prvo lakoto in kake pol leta spoznaval vsa glavna ozvezdja, se je vrnil v sončni sistem, ker ga je bila očarala velika povečava, v kateri je lahko tako razločno videl čudoviti Saturnov obroč in tisto prelepo Jupitrovo pego. ",lahko
"Nasmehnil se je ob spominu na ta lahkomiselni pripetljaj, ki bi se bil lahko končal s trajnimi posledicami, a se na srečo ni. ",lahko
Le za nekaj ur je bil skorajda slep na desno oko. ,ura
"Prepoznal je obliko tiste dobrohotne Stvari, ki ji je bil sledil semkaj. ",oblika
"Kot da je njegova zaščitnica hotela, da Simon izgubi še zadnjo preostalo bojazen pred njo.",izgubiti
"Nekatere njihove najbolj zapletene oblike so postopoma izginjale, druge pa so si postajale vse bolj podobne medseboj. ",oblika
"Zdaj je dojel, da lahko na enostaven način potek hologramske projekcije tudi ustavi, ga vrne za poljubno mero nazaj in ga po želji tudi večkrat ponavlja.",lahko
“Ti lahko rečem Stvar?” je vprašal Simon. ,lahko
Župan ob tem ni dajal izjav za javnost. ,dajati
"Šel je v duhu človeka in režima, ki ga je njegov idol imel...",imeti
Meni je stadion všeč mogoče zgleda majhen ampak je vseeno lep in reprezentanci primeren sicer jaz ne bi imel nič proti če bi reprezentanca igrala v Ljudskem Vrtu kar se pa tiče notranjosti strehe bi bilo pa res bolje če bi reflektorje namestili tam na robu strehe kaj so pa ti kvadrati črni pa nevem mogoče samo tako da bolj poživi vse skupaj kot notranjost strehe da ni samo sivo ali belo ali črno pa je še malo okrašeno s temi kvadratki.,imeti
groza in se en dokaz da človeška neumnost nima meja. a ni dobu nč druzga za ubost ko svojo staro mamo????????????????,imeti
"Pogačnik je objektivno odgovoren samo zato, ker pojma ni imel kaj delajo za njegovim hrbtom. ",imeti
"Od njegove sekretarke, do vseh ostalih veterinarjev, ki so dajali svoje ocene., ki so bile podlaga, da je Senica uspel.",dajati
"Ja novinarji pa bi lahko pripisali, da je to arhivski posnetek!",lahko
rossi je pa tk zmagu v tekmovanju največje riti !!! sploh nima konkurence !!,imeti
"UK reprezentanca ima par problemov v svoji grupi,mora iti preko USA in SLOVENIJE preden se lahk pogovarjajo za naprej................",imeti;lahko
"Dobro vparašanje, kje so bili takrat njeni starši, o katerih sicer niti ene besede, niti omembe zahvale lastniku psa.",beseda
kakšno vezo ima Kraljevina Jugoslavija zdaj s tem?,imeti
"V času, ko imamo skoraj vsak dan namenjen kakšni pomembni obletnici, bi izbral 1.maj za enega najpomembnejših praznikov.",imeti
"Kar se tiče erekcije, vsak moški in fant, tudi otroci, imamo ponoči erekcijo, tudi več, to je čisto naravna reakcija, na marsikaj, ne zgolj bližnino nekoga. ",imeti
No pa nimamo samo mi problema z izhodom na morje ((-:,imeti
"Razliko lahko razume vsak,ki jo hoče razumeti.",lahko
Res nimata pametnejšega dela kot iskat reklamo... ,imeti
Pa še to pesem je uskladila sama. ,sam
Poje res odlično.,peti
"Podobno kot pri nekaterih znanih reporterjih, Henriju Cartier-Bressonu na primer, je namreč tudi večina Dolinškovih najboljših fotografij nastala iz nekakšne očaranosti nad življenjem in obenem nad samim fotografskim medijem"" (Iz spremne besede Lare Štrumej).",sam;beseda
"Meja med enim (amaterskim) in drugim (eksperimentalnim) tako ni nedoločljiva le spričo dejstva, da jo lahko črta zgolj ali predvsem subjektivna presoja, temveč tudi zavoljo tega, ker se prva oznaka v svojem najbolj razširjenem pomenu navezuje predvsem na produkcijske pogoje, druga pa je vezana na hotenja, postopke in učinke specifičnega filmskega izraza. ",lahko
S tem sem imel v mislih predvsem psihološko plat. ,imeti
"Sam sem se izčrpal ob iskanju formule, kako doseči maksimalni moštveni duh in homogenost v ekipi,saj so me pri mojih prizadevanjih ovirali izstopajoči zvezdniški posamezniki. ",sam
"Prav vsi, ki smo se na ta način imeli priložnost preizkusiti, vemo, da je delo z zvezdniki naporno. ",imeti
Skladiščne škodljivce lahko dobimo na več načinov. ,lahko
Okužba pa lahko izvira tudi iz starih zalog žita in nečistih skladišč. ,lahko
Za mesne pasme in križanke je lahko ta teža nekaj 10 kilogramov višja. ,lahko
Tu je imel spravljenega. ,imeti
novinarji ne provucirajte! če bi bil jaz doli bi imeli 12 točk. ampak nisem imel časa.,imeti;točka;imeti
"Take modrosti lahko klati samo nekdo, ki nikoli ni bil 24 ur izpostavljen odgovornim odločitvam in napetemu delu",lahko;ura;napet
"jojojojoj, koliko kritikee...spet kritizirajo tisti, ki pojma nimajo...kriva je zavarovalnica in nihče drug...dobičke si delijo...namesto, da bi jih dali nazaj v zdravstveni sistem....zdravnikov pa bo itak zmanjkalo v 5 letih..potem pa bomo videli kako jih bomo šele spoštovali...očitno se mora to zgoditi, ker jih niste vredni tisti, ki kritizirate..",imeti
Z njim bomo po njegovih besedah premagali naše težave.,beseda
"V izogib zaslužkarstvu bi bilo verjetno potrebno omejiti količine ter podobno kot ostale države določiti, ob katerem času se tartuf lahko nabira, meni Križman. ",lahko
"V novi podobi s predhodnikom nima skupne ne velikosti, ne pogonske zasnove in ne cene. ",imeti
"Brez pisnega dovoljenja založnika so prepovedani reproduciranje, distribuiranje, javna priobčitev, predelava ali druga uporaba tega avtorskega dela ali njegovih delov v kakršnem koli obsegu ali postopku, tudi fotokopiranje, tiskanje ali shranitev v elektronski obliki. ",oblika
Vse to bomo spoznali pri urah zgodovine. ,ura
"Lahko bi mu rekli tudi raziskovalec, ki proučuje in razlaga različne zgodovinske dogodke in pojave.",lahko
"GALERIJE • Hranijo likovna in umetniška dela, • dela si lahko ogledamo na stalnih in občasnih razstavah, • najstarejša in osrednja galerija v Sloveniji je Narodna galerija v Ljubljani.",lahko
GLAVNE IDEJE Zakaj je bila iznajdba tiska pomembna Kakšne vrste tiskanih izdaj poznamo danes KLJUČNE BESEDE tisk širjenje informacij,beseda
"Tekoče vode niso imeli, nekatere hiše so imele lasten vodnjak. ",imeti;imeti
Premožnejši so imeli manjše kopalnice. ,imeti
Nekatera mesta so imela celo milijon in več prebivalcev. ,imeti
Mnogi rokodelci pa se ob uporabi novih gradiv preizkušajo v izdelovanju novih predmetov ali skušajo poiskati nove oblike znanih predmetov. ,oblika
"In zelo konkretno se, kot vedno, pokaže, da je oblast zagotovilo privilegijev, kdor je nima, pa si tega neizmerno želi. ",imeti
"Najbolj čista elektrika (poleg solarne), pa pri nas ne more zaživet, zaradi nekaj zafrustrirancev! ",čist
"Ti ki ste tako proti vetrnim elektrarnam, pojdite malo po svetu pogledati, kjer vse jih imajo. ",imeti
"Elektriko rabimo in kaj je boljše zgraditi še en blok v šoštanju, ali pa v Kršekm še eden NEK, ali pa vetrnice, pa solarne elektrarne?",blok
"na koncu ostalo, da bom lahk sel z Edijem na pivo al pa v kazino, da bo slo to se komu v nos. ",lahko
"Poleg njega pa tudi Rnic in Toskic(pravi borec) ter tu in tam Zorman.vendar ko njega ustavis, se vse ustavi. ne more biti pa taksna ekipa odvisna samo od njega. ce mislijo nekateri se vedno igrati zvezde,potem se naj usedejo.ce so nekateri edaj starejsi in mislijo, da bodo oni imeli glavno besedo...",imeti;beseda
Razni Zormani in ekipa gredo zaradi mene lahko takoj domov ker niso pakazali srca ne na klubski ne na reprezentančni tekmi. ,lahko
"Banda nesposobnih zahojencev, ki mislijo da na starih lovorikah lahko živijo. ",lahko
"Res ne morem verjeti, da še lahko nategujeta sponzorje in ostale prisotne v klubu. ",lahko
doma imamo volva xc60. ,imeti
"@ 17. danes - A maš link, al je sam na papirju?",sam
"Viktor je imel v žepu še eno kartico z desetimi impulzi, imelo ga je, da bi zavrtel številko, samo toliko, da ji izlije v tisto lepo glavico ves žolč, ki se je nabiral zadnje tedne in mu v tem trenutku zalil grlo. ",imeti;imeti
"Preden ga je Natalija posadila na suho, si je Viktor jemal in je Tina dajala, po zadnjem telefonskem klicu pa je imel Viktor občutek, da če že, mora on prositi, Tina pa si lahko vzame po mili volji. ",dajati;imeti;lahko
"No, ko jo je pol ure pozneje polagal v posteljo na drugem koncu Ljubljane, je imela v očeh prošnjo, naj bo nežen. ",ura;imeti
"Anita je prestavila na radio, na komercialno postajo, kjer je delala kot špikerica in kjer bo pojutrišnjem, v ponedeljek, spet sedla za mikrofon. ",postaja
"Da preprostost, ki sploh ni prava beseda, mogoče odkritost, posebne vrste naivnost ali čustvena odprtost, ni zadnja domena te ženske. ",beseda
Da ima tu prste vmes igra lisičjih repov. ,imeti
"V trenutku je bila pod sovami, razglašenimi vranami, pokajočimi vejami in vse gostejšimi sencami dušica lažja, hodila je in celo poskočila, ja, gibanje, zletela je skozi dve vrtači in v tretji skoraj padla na gobec. ",lahek
Drugo je opravil prej: izgubil se je. ,izgubiti
"K njenim nogam sta priskakala dva dalmatinca, prekrasni živali, le nekaj trenutkov zatem se je izgubila v množici ob reki skupaj z belo obleko, ki jo je napihoval veter.",izgubiti
Ura: pol polnoči. ,ura
"Počasi se je iz potez izvila Elija, pa spet Johnny, pa spet nazaj, in spet, kot prelivanje barv ali kalejdoskop ali kaj tretjega na to temo, dokler ga ni z besedo ",beseda
"Ženska je inteligentna, ima nenavadno mnogo informacij in ni posebno razpoložena. ",imeti
"Saj je vse od prvega popoldneva, ko se je prikazala z deklico na vrtu, prek nočnih svetlikanj s cigareto pod luno, prek slavnega Viktorjevega striptiza in vsega ostalega limitiralo naravnost sem v to točko, bolje, med rjuhe.",točka
"Nad kozarcem, ki ga je vrtel po roki, je recimo doživel deset minut Elijine popolne odsotnosti, ki ji je sledila ura moreče živčnosti. ",ura
Sanjala sam pauke ... ,sam
"Tina prihaja, je rekla z vrat prav nič navdušeno, ko je odložila telefon, ki je presekal njuno buljenje in čakanje, kaj bi lahko še rekla. ",lahko
"Tebi beseda tako nič ne pomeni, saj si pisec.",beseda
"Tam ima barako, živi praktično kot klošar, vendar ne zato, ker ne bi imel denarja, temveč ker je malo, citat, premaknjen. ",imeti;imeti
"Škljocanje, kot da prihaja izza neba. ",nebo
"Po kratkem stiku zenic mu je v roke je potisnila pladenj in zrecitirala: sok Tini, gospe Završnikovi in njenemu soprogu kavo, palčke so za malo Vanjo, to je hčerka od Rezike, ki dela na Telekomu in vozi terenca, blond kodrčke ima, čaji so za skupino dam ... pogledala je prek Viktorjeve rame, za mizo sedijo, in gospa Stremšek lepo prosi, če bi Viktor pazil, ker je zadnjič prinesel polovico kave na krožničkih pod skodelico ... ",imeti
"Pogreba zaradi tega seveda ne bodo mogli prestaviti, torej se bo svoje dogajalo nekje med Vladimirjevim in Lojzetovim (prvi zaradi materije in drugi zaradi principov) skakanjem med Žalami in vladno palačo, med tema dvema točkama je mogoče iskati tudi najožjo ekipo umetnikov. ",točka
In v kopalnici niti ene same tablete.,sam
"Orožja nima in ga noče imeti, ker je več verjetnosti, da bi Viktor zaklal ali ustrelil sebe. ",imeti;imeti
"Svojo identiteto aktivirajte čim prej, saj boste le tako lahko nemoteno uporabljali sisteme, ki vam omogočajo tekoče spremljanje študija. ",lahko
"Velik vpliv na izbiro študija imajo dobri, navdihujoči učitelji na srednji in osnovni šoli ter računalniške igre in znanstvena fantastika. ",imeti
Čitalniško gradivo se lahko uporablja le v čitalnici in ga je potrebno vrniti do zaprtja knjižnice,lahko
ga lahko izposodi drugim uporabnikom.,lahko
"- da bo MATEJA BEDENČIČ, univ. dipl. biol. zagovarja svojo doktorsko disertacijo z naslovom »Vpliv genskih polimorfizmov na tveganje in zdravljenje žilne bolezni« v petek, 12. novembra 2010 ob 9. uri v sejni sobi na tajništvu Medicinske fakultete, Vrazov trg 2/I.",ura
Vsi tečaji bodo izvedeni v popoldanskih urah. ,ura
"Miha Juhart, zato bodo odpadla njegova predavanja in govorilne ure",ura
"Založnik nudi 205 naslovov revij, od katerih jih ima že 59 dejavnik vpliva, in sicer od 0,79 do 6,15 za leto 2008, 75 pa jih ima neuradni dejavnik vpliva, kar pomeni, da bodo dobile uradnega v prihodnjih letih.",imeti;imeti
Oblike okrog mene. ,oblika
Kopalci in trampolinisti : slike 2003-2010 / Franc Mesarič ; [spremna beseda Robert Inhof]. ,beseda
"Zdaj je bil sam, zato je lahko mirno odložil svoj z zlatom obrobljen telovnik z bleščečimi našitki. ",sam;lahko
">Potomka uglednega britanskega aristokrata in carjeva sorodnica,< je sam pri sebi pomislil vikont, na glas pa vprašal:",sam
"»Kot sem že rekel,« je nadaljeval, »se kot uradni predstavnik angleške kraljice ne morem nenadoma pojaviti z lepo mlado žensko. ",kraljica
"Govorila je presenetljivo mirno, kar je njenim besedam dajalo še dodatno težo.",beseda;dajati
"»Do meje lahko potujem tudi v skrinji, v kateri ste me našli,« je princesa spet uganila vikontove misli. ",lahko
Po slabi uri vožnje se je pokrajina spremenila. ,ura
"Seveda sem zelo počaščen, da lahko spoznam vašo soprogo.«",lahko
"Na večerjo sem povabil veliko ljudi, ki komaj čakajo, da se bodo lahko srečali z vami. ",lahko
"Mislim, da nam boste lahko povedali marsikaj zanimivega.«",lahko
"»Rad bi na samem govoril s svojo ženo,« je vikont v madžarščini rekel služabnici, ki se je takoj umaknila. ",sam
"Ko bomo zapustili Madžarsko, bo vse precej lažje.«",lahko
"Princesa bo zares varna šele takrat, ko bodo prišli v Zahodno Evropo, kjer Rusi nimajo več vpliva. ",imeti
In že je samega sebe slišal reči v madžarščini: ,sam
"»Tudi tu smo imeli z njimi kar precej težav, vendar se mi zdi, da se je vsaj na Dunaju stanje normaliziralo.«",imeti
"»Nikar ne obračajte mojih besed,« je potožil vikont. ",beseda
"»Ne bi rad zvenel surovo, toda dejstvo je, da bi bilo vse skupaj precej lažje, če se sinoči ne bi zgodilo, kar se je pač zgodilo.«",lahko
"V laseh je imela prečudovito diamantno tiaro, ki jo je podedovala od svoje matere. ",imeti
Diamanti so odsevali od njenih temnih las in dajali vtis zvezdnatega neba. ,dajati;nebo
Njene besede so bile iskrene in so mu segle globoko v srce. ,beseda
In ljubezen ju je znova ponesla v nebo ...,nebo
"»Žal imamo zelo dolg seznam jamstev, ki jih je Sankt Petersburg prelomil. ",imeti
"Jenta je ob zvenu njegovih besed za trenutek otrpnila, potem pa ga je prestrašeno pogledala: »Kaj se je zgodilo?« je vprašala.",beseda
»Umrl ... mrtev?« je komaj slišno vzkliknila in globoko zajela sapo. ,mrtev
"Oba sta za trenutek premolknila, potem pa je Jenta pretrgala tišino in rekla: »Se spomniš, da ste mi že na Dunaju obljubil, da bom lahko šla v Štefanovo cerkev molit. ",lahko
»Prav imaš. ,imeti
Bova torej ... sama?« je vprašala Jenta. ,sam
»Vam lahko kakorkoli pomagam?« je vprašal tajnik. ,lahko
"Ko sta bila spet v kočiji, sta se molče, brez besed prijela za roke. ",beseda
"»Nama lahko poveste, monsieur, kjer najdeva princeso Jento Kerensko?«",lahko
"»Mislim, da ima veliko pomembnejših stvari. ",imeti
Jaz ... jaz pa lahko mislim samo na tebe!«,lahko
"Nepravilnosti, ki jih je ugotovilo računsko sodišče, lahko strnemo v naslednje tri skupine:",lahko
"Vonj, ki si ga izberemo, je odsev zapletene povezave med našo podobo, kot jo vidimo sami, in tisto, ki bi jo radi predstavili drugim. ",sam
