lemma	upos	sense_id	definition
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-20	Munkát, anyagi eszköz(öke)t v. vmely feladat elvégzésére megfelelő személy(eke)t rendelkezésre bocsát, szolgáltat
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-21	Vért ad | vérátömlesztésre véréből átenged.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-22	Életét adja vmiért | feláldozza az életét vmely célért.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-23	Vmire v. vminek adja magát v. a fejét | vminek szenteli, vmire szánja magát; vmivel tevékenyen, szenvedélyesen foglalkozni kezd; átengedi magát vminek.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-24	Búnak, búsulásnak adja a fejét; az italnak v. az ivásra adja magát | inni (4a) kezd; folyton iszik
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-25	A játszmát döntetlenre v. remire adja | felajánlja ellenfelének a játszma abbahagyását döntetlen eredménnyel.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-26	Vmely munkára, vminek a megvalósítására megszabott időt engedélyez
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-27	Bizonyos számú évet büntetésként, szabadságvesztésül kiszab vkire
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-28	Nem adok neki vmennyi időt | úgy vélem, hogy a megadott időn belül feltétlenül bekövetkezik.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-29	Adva van v. vannak | induljunk ki abból a feltevésből, hogy előttünk van, létezik v. ismeretes.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-30	Orvosságot, mérget embernek, állatnak szervezetébe juttat.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-31	Üzemanyagot vmely gépnek, szerkezetnek megfelelő részébe juttat.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-32	Sarkantyút ad a lovának | megsarkantyúzza a lovát.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-33	Ruhadarabot vkire rásegít, ráhúz. Vö.: ráad (1).
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-34	Vmely meglevő anyaghoz, mennyiséghez újabb, más anyagot v. mennyiséget hozzá tesz, hogy azzal együtt legyen, és azt nagyobbá v. más jellegűvé tegye.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-35	Föld, növény vmit, vmennyit terem
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-36	Jól, szépen, gyengén stb. ad | termesztett növény jó, szép, gyenge stb. termést hoz; jól, szépen stb. terem.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-37	Vmi ad vmit | vmely természetes előfordulási helyről kikerül, hozzáférhető (szedhető, vehető) vmi; szolgálat.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-38	Háziállat bizonyos terméket szolgáltat, nyújt az embernek
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-39	Tehén tejet szolgáltat; tejel.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-40	Készülék, üzem, energia- és nyersanyagforrás hatást kifejt, anyagot, terméket szolgáltat
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-41	Kút, forrás, nagyobb edény vmely folyadékot szolgáltat, magából kibocsát
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-42	A mi kutunk jó vizet ad. Az új kutak tonna számra adják az olajat. A hordó, a demizson még jól adja | bőven van még benne bor v. más folyadék.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-43	Valóságos, tárgyi eredményül kialakít, létrehoz vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-44	Életet ad vkinek | világra hoz, (meg)szül vkit.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-45	Hangot ad | ember, állat hangot hallat, tárgy vmilyen mozgásával, ill. ütődésével hangot hoz létre, hangot idéz elő.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-46	Hangot ad vminek | kifejez vmit.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-47	Jelt ad (vmire) | jellel figyelmeztet vmire.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-48	Vmit, rendsz. vmely társas összejövetelt megszervez, és a (hozzá) szükséges anyagiakról gondoskodik
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-49	Adja a bankot |
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-50	Munkát, teendőt, feladatot kijelöl, megszab
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-51	Leckét v. órá(ka)t ad | óraadással, magántanítással foglalkozik.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-52	Leckét, órá(ka)t ad vkinek | különórá(ko)n tanít vkit.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-53	Irányt ad | a)
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-54	vkinek |
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-55	vminek | megszabja további folyamatát, menetét.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-56	Vmit ad (vkinek) | játékban, küzdelemben vmilyen helyzetet teremt az ellenfél számára, amely többé-kevésbé döntő jelentőségű a küzdelem eldöntésére.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-57	Vmit, rendsz. vmilyen helyzetet, körülményeket okoz, előidéz
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-58	Vmit ad vkinek, vminek | lehetővé teszi neki, hogy hozzájusson vmihez, gyarapodjék vmiben.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-59	Helyet ad vkinek | átengedi a helyét, v. helyet szorít neki
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-60	Vmit ad vkinek, vminek | eredményezi, elősegíti, hogy benne vmely tulajdonság, lényeges mozzanat létrejön.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-61	Bátorságot, erőt, hitet ad vkinek (vmire); értelmet ad vminek | értelmessé tesz vmit, megvilágítja az értelmét.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-62	Házassága értelmet adott az életének; új értelmet ad vminek; jelentőséget ad vminek | jelentőssé tesz vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-63	Engedélyével, beleegyezésével lehetővé tesz, engedélyez vmit, gyak. vkinek
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-64	Amnesztiát ad; előnyt ad; haladékot ad; időt ad vmire; azt adja az ég; adja isten! | bárcsak így (v. úgy) lenne, bárcsak megvalósulna.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-65	Ne adj’ isten, hogy (sikerüljön) | bármennyire kívánatos volna, bárhogy igyekszem is, mégsem (s.).
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-66	Vhova, vminek ad vkit | tőle függő személyt, kül. gyermeket vmely pályára v. rendszeres foglalkozásra, vminek megtanulására enged, küld.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-67	vkinek (férjhez) ad | leányt feleségül enged vkihez, úgy intézi, hogy felesége legyen vkinek.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-68	Vmi ad vkit | közösségből, népből, családból kikerül vki, rendsz. a haza v. az emberiség javára.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-69	Vmi így v. úgy adta | az élet, a sors, a körülmények alakulása következtében így v. úgy történt.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-70	Képet, példát, bizonyságot mutat, létrehoz
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-71	Vminek a jelét adja; képet ad vmiről; példát ad vkinek vmire v. vminek példáját adja; mintaképét adja vminek; számot ad vmiről; vminek tanúbizonyságát v. tanújelét adja | nyíltan, nyomatékosan kifejez, igazol vmit.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-72	Színész vmely szerepet játszik; vkit a színpadon v. filmen ábrázol
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-73	Színdarabot, filmet, műsort v. műsorszámot közönség számára bemutat, játszik, ill. közvetít
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-74	Ad vkit, vmit | úgy viselkedik, hogy vmi másnak lássék, mint ami v. amilyen; vminek a látszatát igyekszik kelteni.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-75	Adja az ártatlant, a bölcset, a butát, a felnőttet, a gavallért, a hőst, az okosat, a sértődöttet, a szentet, az urat; adja a nagyot | előkelőnek, nagy úrnak mutatja magát; fölényeskedik
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-76	nagyban adja; hogy adja! | milyen jól tudja mutatni, játszani a fölvett szerepet.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-77	Élőszóban, írásban v. nyomtatásban közöl, nyilvánít vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-78	Szájról szájra adnak vmit | terjesztik, híresztelik
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-79	vkinek a szájába adja a szót; életjelt ad magáról | üzen, tudatja, hogy él, hogy mit csinál
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-80	értesül v. értésére ad vkinek vmit | közöl vkivel vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-81	hálát ad vkinek vmiért; hírt ad vmiről | értesít, tudósít róla
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-82	igazat ad vkinek | kijelenti, hogy az illetőnek igaza van
